timestamp, x, y, orientation, signal strength, ping time
1477454507777040.00,0,0,-0.00541052,-18,0.96
1477454507877290.00,0,0,-0.00541052,-18,0.95
1477454507981250.00,0,0,-0.00541052,-17,1.04
1477454508099370.00,0,0,-0.00541052,-18,3.59
1477454508171100.00,0,0,-0.00541052,-19,1.33
1477454508281230.00,0,0,-0.00541052,-22,1.25
1477454508380390.00,0,0,-0.00541052,-21,0.99
1477454508480430.00,0,0,-0.00541052,-20,0.97
1477454508581130.00,0,0,-0.00541052,-20,0.98
1477454508680560.00,0,0,-0.00541052,-21,2.14
1477454508786780.00,0,0,-0.00541052,-19,1.2
1477454508886480.00,0,0,-0.00541052,-20,2.06
1477454508971830.00,0,0,-0.00541052,-21,0.91
1477454509079150.00,0,0,-0.00541052,-20,0.94
1477454509173330.00,0,0,-0.00541052,-23,0.91
1477454509274930.00,0,0,-0.00541052,-21,0.98
1477454509372040.00,0,0,-0.00541052,-23,0.93
1477454509474790.00,0,0,-0.00541052,-21,0.97
1477454509586630.00,0,0,-0.00541052,-21,1.38
1477454509673090.00,0,0,-0.00541052,-21,0.93
1477454509786400.00,0,0,-0.00541052,-18,0.89
1477454509877620.00,0,0,-0.00541052,-19,1.05
1477454509972920.00,0,0,-0.00541052,-18,0.9
1477454510073890.00,0,0,-0.00541052,-19,0.95
1477454510173370.00,0,0,-0.00541052,-18,0.98
1477454510272840.00,0,0,-0.00541052,-18,0.91
1477454510372870.00,0,0,-0.00541052,-18,1.11
1477454510473600.00,0,0,-0.00541052,-18,0.98
1477454510576280.00,0,0,-0.00541052,-19,0.97
1477454510674210.00,0,0,-0.00541052,-19,1.04
1477454510782350.00,0,0,-0.00541052,-18,0.88
1477454510873940.00,0,0,-0.00541052,-22,1.28
1477454510973710.00,0,0,-0.00541052,-22,0.91
1477454511073500.00,0,0,-0.00541052,-22,0.91
1477454511175630.00,0,0,-0.00541052,-21,0.91
1477454511281550.00,0,0,-0.00541052,-21,0.93
1477454511375700.00,0,0,-0.00541052,-22,1.14
1477454511475060.00,0,0,-0.00541052,-22,1.02
1477454511577800.00,0,0,-0.00541052,-23,0.89
1477454511674970.00,0,0,-0.00541052,-21,0.98
1477454511779520.00,0,0,-0.00541052,-21,0.98
1477454511890610.00,0,0,-0.00541052,-20,0.93
1477454511981020.00,0,0,-0.00541052,-20,0.94
1477454512083570.00,0,0,-0.00541052,-19,0.92
1477454512176090.00,0,0,-0.00541052,-22,0.97
1477454512275950.00,0,0,-0.00541052,-19,0.95
1477454512377020.00,0,0,-0.00541052,-20,1.22
1477454512479700.00,0,0,-0.00541052,-21,1.31
1477454512583670.00,0,0,-0.00541052,-20,0.94
1477454512682350.00,0,0,-0.00541052,-20,0.9
1477454512815720.00,0,0,-0.00541052,-22,1.94
1477454512934440.00,0,0,-0.00541052,-22,1.57
1477454513049940.00,0,0,-0.00541052,-23,0.94
1477454513131600.00,0,0,-0.00541052,-24,0.97
1477454513230160.00,0,0,-0.00541052,-24,1.14
1477454513333720.00,0.02191973,-0.00012174,-0.00663225,-22,0.86
1477454513429030.00,0.04362594,-0.00028581,-0.00750492,-23,0.94
1477454513532420.00,0.0674644,-0.00046613,-0.00628319,-24,1.71
1477454513633700.00,0.07637726,-0.00051981,-0.00541052,-21,10.7
1477454513720850.00,0.099875,-0.00062186,-0.00296706,-22,0.88
1477454513831880.00,0.12311704,-0.00065921,0.00069813,-23,0.89
1477454513939710.00,0.14670028,-0.00062555,0.00261799,-24,0.99
1477454514033790.00,0.16303365,-0.00057781,0.00383972,-24,2.13
1477454514135740.00,0.17898309,-0.00050541,0.00593412,-24,2.9
1477454514249750.00,0.19471917,-0.0004038,0.00663225,-25,0.95
1477454514331830.00,0.21889909,-0.00026811,0.00593412,-23,1.53
1477454514431860.00,0.24312155,-0.00011521,0.00610865,-24,0.93
1477454514533050.00,0.26738659,0.00004801,0.00802851,-24,0.91
1477454514636890.00,0.27544644,0.00011272,0.00820305,-23,6.11
1477454514720230.00,0.30000964,0.00032634,0.00977384,-22,0.94
1477454514824730.00,0.32470047,0.00057272,0.01012291,-25,1.65
1477454514946360.00,0.34103292,0.00075034,0.01204277,-27,0.84
1477454515029360.00,0.36585084,0.00107098,0.01396263,-29,4.97
1477454515121930.00,0.38231054,0.00130589,0.0153589,-25,0.93
1477454515222220.00,0.40717009,0.00169866,0.01675516,-28,0.92
1477454515328760.00,0.42371428,0.00198457,0.01815142,-26,1.92
1477454515423740.00,0.44852993,0.00244881,0.01919862,-26,0.94
1477454515531340.00,0.47351602,0.00292346,0.01884956,-28,1.08
1477454515642350.00,0.48170257,0.00307924,0.01972222,-25,11.8
1477454515725030.00,0.50694364,0.00359994,0.02164208,-30,0.88
1477454515826070.00,0.53218383,0.00416244,0.02338741,-27,0.86
1477454515951060.00,0.55733806,0.00475377,0.02408554,-25,0.87
1477454516055720.00,0.56577951,0.00495858,0.02478368,-26,0.88
1477454516140510.00,0.59114528,0.00561912,0.026529,-24,1
1477454516231650.00,0.61659557,0.00631153,0.0280998,-27,0.88
1477454516326360.00,0.64630783,0.00715554,0.02844887,-28,0.88
1477454516433620.00,0.6634872,0.00764743,0.0286234,-31,0.96
1477454516526340.00,0.68906474,0.00836411,0.0275762,-29,0.95
1477454516636280.00,0.697676,0.00860089,0.02722714,-30,1.55
1477454516728540.00,0.7233395,0.0092968,0.02670354,-28,0.93
1477454516834720.00,0.74921644,0.00998643,0.02600541,-30,0.93
1477454516970930.00,0.77083063,0.0105494,0.02635447,-34,1.16
1477454517073370.00,0.78366262,0.01088842,0.02635447,-29,0.9
1477454517174660.00,0.80962569,0.01154939,0.02460914,-27,1.43
1477454517276090.00,0.835504,0.01218635,0.02513274,-29,0.89
1477454517360470.00,0.85277033,0.01261509,0.02356194,-30,0.98
1477454517453140.00,0.87451446,0.01309567,0.02146755,-28,0.92
1477454517555800.00,0.90060782,0.01365668,0.02007129,-31,1.59
1477454517646730.00,0.92691582,0.01414783,0.01727876,-42,0.91
1477454517746950.00,0.93569964,0.0142973,0.01623156,-37,0.84
